,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
34,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.4723686695098877,0.45600000619888303,0.34810257107019427,-0.00859257857423601,-0.07448071216617214,0.4491634491634492,0.5540284360189573,0.5655526992287918,-0.44,0.73,-0.52,0.72
35,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5680259943008423,0.5000000059604645,0.40358242094516755,0.029912072554699964,0.08678176422983541,0.5302445302445302,0.5540284360189573,0.5655526992287918,1.84,0.73,1.76,0.72
36,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.46967238187789917,0.5079999983310699,0.5988339960575104,0.16367986780581778,-0.011909900188831868,0.4671814671814672,0.4364928909952607,0.43444730077120824,-0.61,-0.73,-0.63,-0.72
37,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.45955523252487185,0.49999998807907103,0.555474317073822,0.15345364612465584,-0.01548421904504993,0.4697554697554698,0.4364928909952607,0.43444730077120824,-0.18,-0.73,-0.21,-0.72
38,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.4940264642238617,0.5320000052452087,0.564235833287239,0.13134146386046486,-0.028082007013757737,0.46589446589446587,0.4364928909952607,0.43444730077120824,-0.51,-0.73,-0.54,-0.72
39,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.6090639472007752,0.5480000019073487,0.3414229296147823,0.13011859455941988,-0.0531427029943351,0.48133848133848134,0.4364928909952607,0.43444730077120824,-0.91,-0.73,-0.95,-0.72
40,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5426482856273651,0.5839999973773956,0.6165612578392029,0.15186245370827334,-0.02435932020501741,0.4864864864864865,0.4364928909952607,0.43444730077120824,-0.7,-0.73,-0.72,-0.72
41,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5249283492565155,0.5320000112056732,0.5067523032426834,0.1285630463154892,-0.035432964661451294,0.46846846846846846,0.4364928909952607,0.43444730077120824,-0.57,-0.73,-0.6,-0.72
42,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.44690945744514465,0.5039999961853028,0.5722859025001525,-0.011439037497669391,0.02735365524683031,0.5431145431145431,0.4364928909952607,0.43444730077120824,0.13,-0.73,0.06,-0.72
43,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.42971217036247256,0.4599999964237213,0.6577997326850891,0.027791487074874777,-0.07825735095764763,0.4568854568854569,0.4364928909952607,0.43444730077120824,-1.01,-0.73,-1.1,-0.72
44,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.39569221436977386,0.5079999923706054,0.47569804787635805,-0.02981680723265956,0.05977879687078502,0.5456885456885456,0.4364928909952607,0.43444730077120824,-0.4,-0.73,-0.47,-0.72
45,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5057607591152191,0.5720000028610229,0.5909815490245819,0.015599352190014626,-0.012274076072295692,0.5186615186615187,0.4364928909952607,0.43444730077120824,-0.7,-0.73,-0.79,-0.72
46,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.43551006317138674,0.48799999952316286,0.5615546822547912,0.0016323203076731296,0.028817102778527115,0.5546975546975547,0.4364928909952607,0.43444730077120824,0.53,-0.73,0.45,-0.72
47,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.42958958745002745,0.4800000011920929,0.578405785560608,0.03130380899110552,-0.01923388184515784,0.5122265122265123,0.4364928909952607,0.43444730077120824,-0.91,-0.73,-0.99,-0.72
