,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
30,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.716605031490326,0.6966824531555176,0.7460784316062927,0.5349949864958106,0.03895239376008597,0.5269922879177378,0.5683719158172608,0.5494470715522766,0.8028328657150269,0.5540284360189573,0.5655526992287918,0.31,0.72,0.28,0.72
31,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6315425395965576,0.6287068367004395,0.7875,0.3678939373416519,0.05455217859063999,0.5655526992287918,0.558227026462555,0.5513428211212158,0.9376770734786988,0.5540284360189573,0.5655526992287918,1.2,0.72,1.18,0.72
32,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5839796543121338,0.5708869457244873,0.7774509787559509,0.16555654441837442,0.06764389456697151,0.5604113110539846,0.5586207151412964,0.5548183202743531,0.9603399395942688,0.5540284360189573,0.5655526992287918,0.88,0.72,0.87,0.72
33,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6761501789093017,0.6805687427520752,0.8102941155433655,0.453082600549622,0.012782409897794444,0.506426735218509,0.5735547065734863,0.5503949522972107,0.756373929977417,0.5540284360189573,0.5655526992287918,0.47,0.72,0.42,0.72
34,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6382630348205567,0.6453622221946717,0.8269607782363891,0.34547361933185394,0.06440962883270585,0.5732647814910026,0.5635304093360901,0.5529225826263428,0.8793201088905335,0.5540284360189573,0.5655526992287918,0.92,0.72,0.91,0.72
35,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5806388258934021,0.5703452944755554,0.8004902005195618,0.1923231114816064,0.06408687466379792,0.532133676092545,0.5641991853713989,0.5532385468482971,0.8815863966941834,0.5540284360189573,0.5655526992287918,0.31,0.72,0.29,0.72
36,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.49390303492546084,0.5582938432693482,0.4182662546634674,0.21546404838416588,-0.013757396449704196,0.5,0.4737155497074127,0.5500789999961853,0.320727276802063,0.4364928909952607,0.43444730077120824,-0.8,-0.72,-0.83,-0.72
37,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.469821834564209,0.5431279540061951,0.34643962383270266,0.11664927050258944,-0.014154115115653565,0.5501285347043702,0.5498803853988647,0.569036340713501,0.04509090855717659,0.4364928909952607,0.43444730077120824,0.03,-0.72,-0.0,-0.72
38,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.4502195954322815,0.5312119245529174,0.32600619196891784,0.03858843597983341,-0.012231038192576538,0.5642673521850899,0.0,0.5655608177185059,0.0,0.4364928909952607,0.43444730077120824,0.58,-0.72,0.57,-0.72
39,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6027068376541138,0.631956672668457,0.466563469171524,0.3960855434680375,0.06798009682625072,0.538560411311054,0.4726948976516724,0.5484992027282715,0.3483636319637299,0.4364928909952607,0.43444730077120824,0.02,-0.72,-0.03,-0.72
40,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5419712901115418,0.5897088646888733,0.4034055769443512,0.2772172347130637,0.02794513179128555,0.5539845758354756,0.597590982913971,0.5744076013565064,0.07054545432329178,0.4364928909952607,0.43444730077120824,-0.02,-0.72,-0.05,-0.72
41,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.4984376668930054,0.5615436673164368,0.3250774025917053,0.1623395420745175,-0.02378294782140955,0.5488431876606684,0.4405785858631134,0.5620853185653687,0.02618181761354208,0.4364928909952607,0.43444730077120824,-0.45,-0.72,-0.47,-0.72
42,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6770696520805359,0.7012863874435424,0.6061919689178467,0.48063181406833744,0.10129774072081776,0.5462724935732648,0.4475656032562256,0.5443917870521545,0.21745454668998718,0.4364928909952607,0.43444730077120824,0.25,-0.72,0.22,-0.72
43,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6271630883216858,0.648205828666687,0.48173374533653257,0.4006012406524153,0.08090371167294252,0.5578406169665809,0.460476154088974,0.5554502367973327,0.1563636377453804,0.4364928909952607,0.43444730077120824,0.54,-0.72,0.5,-0.72
44,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5787545442581177,0.6027081847190857,0.3368421018123627,0.289359848557488,0.06271516944593869,0.5437017994858612,0.5167172074317932,0.5649289131164551,0.10981818288564682,0.4364928909952607,0.43444730077120824,0.17,-0.72,0.15,-0.72
45,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6570425152778625,0.7023696660995483,0.6684210419654846,0.46122573098133546,0.018538192576654122,0.4704370179948586,0.46744491457939147,0.5418641448020936,0.3861818194389343,0.4364928909952607,0.43444730077120824,-0.43,-0.72,-0.45,-0.72
46,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6496893644332886,0.646716320514679,0.4185758471488953,0.42490564521505014,0.09850726196880055,0.5552699228791774,0.4705868184566498,0.5586097955703735,0.18036364018917084,0.4364928909952607,0.43444730077120824,0.19,-0.72,0.17,-0.72
47,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5631948828697204,0.5951252579689026,0.3331269383430481,0.22025004817048055,0.0733189887036041,0.5655526992287918,0.4608740210533142,0.5459715723991394,0.2560000032186508,0.4364928909952607,0.43444730077120824,1.02,-0.72,0.98,-0.72
